claim_id,season,plan_name,event_type,plan_base_premium,plan_max_payout,gps_zone_match,claim_velocity_7d,historical_zone_presence,time_since_event_seconds,platform_activity_during_event,claimed_amount,claimed_amount_ratio,prior_rejections_90d,is_fraud
CLM_03351,festival,nano,Platform Outage,25.0,500.0,1,1,0.6793,2130,0.6179,175.55,0.3511,0,0
CLM_01744,monsoon,basic,Poor AQI,49.0,1000.0,1,1,0.59,4428,0.7403,571.2,0.5712,0,0
CLM_01084,monsoon,nano,Platform Outage,25.0,500.0,1,3,0.6088,946,0.8527,171.6,0.3432,0,0
CLM_00926,monsoon,nano,Platform Outage,25.0,500.0,0,2,0.6326,536,0.7207,310.95,0.6219,1,0
CLM_03049,festival,basic,Platform Outage,49.0,1000.0,1,2,0.7062,666,0.4857,476.15,0.4761,0,0
CLM_01117,festival,basic,Heavy Rain,49.0,1000.0,1,2,0.7225,16132,0.2422,315.46,0.3155,1,0
CLM_00642,winter,basic,Poor AQI,49.0,1000.0,1,0,0.6126,1803,0.7837,408.68,0.4087,0,0
CLM_04767,summer,nano,Platform Outage,25.0,500.0,0,8,0.1479,107,0.2059,363.78,0.7276,2,1
CLM_00501,festival,standard,Platform Outage,79.0,2000.0,1,0,0.6496,34004,0.7426,1004.71,0.5024,0,0
CLM_04066,festival,basic,Heavy Rain,49.0,1000.0,1,2,0.8442,5659,0.3711,433.89,0.4339,0,0
CLM_00333,winter,basic,Platform Outage,49.0,1000.0,1,2,0.5383,4666,0.7679,530.71,0.5307,0,0
CLM_04684,summer,basic,Heatwave,49.0,1000.0,0,3,0.2728,50,0.0035,919.12,0.9191,0,1
CLM_00486,monsoon,standard,Heavy Rain,79.0,2000.0,1,2,0.6076,9715,0.7429,948.55,0.4743,0,0
CLM_01962,monsoon,basic,Poor AQI,49.0,1000.0,1,0,0.2556,12224,0.5803,347.94,0.3479,0,0
CLM_00393,summer,basic,Poor AQI,49.0,1000.0,1,0,0.6735,25400,0.8582,517.56,0.5176,0,0
CLM_04842,winter,premium,Heavy Rain,99.0,3500.0,0,3,0.1183,182,0.0596,3174.7,0.9071,3,1
CLM_04866,festival,nano,Platform Outage,25.0,500.0,0,5,0.0676,192,0.11,373.66,0.7473,3,1
CLM_01755,monsoon,standard,Poor AQI,79.0,2000.0,0,1,0.58,2467,0.591,676.34,0.3382,0,0
CLM_02515,summer,nano,Heavy Rain,25.0,500.0,1,2,0.5476,13081,0.4876,331.37,0.6627,0,0
CLM_03585,festival,basic,Platform Outage,49.0,1000.0,1,0,0.9028,1736,0.841,345.43,0.3454,2,0
CLM_04315,summer,premium,Heatwave,99.0,3500.0,1,0,0.9017,6086,0.5266,757.15,0.2163,1,0
CLM_04966,summer,standard,Heatwave,79.0,2000.0,0,6,0.0424,257,0.5587,1720.63,0.8603,2,1
CLM_02099,monsoon,basic,Platform Outage,49.0,1000.0,1,0,0.82,576,0.7183,601.61,0.6016,0,0
CLM_03599,festival,premium,Platform Outage,99.0,3500.0,1,1,0.8445,19210,0.5316,923.88,0.264,0,0
CLM_04121,monsoon,basic,Platform Outage,49.0,1000.0,1,0,0.891,8550,0.7992,418.5,0.4185,0,0
CLM_00029,winter,nano,Heavy Rain,25.0,500.0,1,0,0.8454,6863,0.7039,137.79,0.2756,0,0
CLM_00065,summer,nano,Platform Outage,25.0,500.0,1,1,0.9404,11190,0.5657,293.69,0.5874,1,0
CLM_00838,monsoon,standard,Platform Outage,79.0,2000.0,1,0,0.7813,26206,0.538,548.54,0.2743,0,0
CLM_03906,festival,standard,Heavy Rain,79.0,2000.0,1,0,0.6938,10169,0.4644,385.61,0.1928,0,0
CLM_03773,winter,premium,Heavy Rain,99.0,3500.0,1,0,0.468,1611,0.5894,858.76,0.2454,0,0
CLM_04635,summer,standard,Heatwave,79.0,2000.0,0,4,0.3025,20,0.1707,1703.71,0.8519,1,1
CLM_03161,summer,nano,Platform Outage,25.0,500.0,1,3,0.9144,6060,0.9784,111.66,0.2233,0,0
CLM_02659,monsoon,premium,Platform Outage,99.0,3500.0,1,0,0.9194,14392,0.7109,1730.91,0.4945,0,0
CLM_04615,festival,premium,Platform Outage,99.0,3500.0,0,6,0.5448,310,0.3401,3017.83,0.8622,3,1
CLM_04628,festival,basic,Platform Outage,49.0,1000.0,0,5,0.2017,244,0.3928,927.79,0.9278,2,1
CLM_02451,winter,premium,Platform Outage,99.0,3500.0,0,0,0.6612,1249,0.8305,1736.3,0.4961,0,0
CLM_02846,winter,premium,Poor AQI,99.0,3500.0,1,1,0.3843,19103,0.6234,2040.38,0.583,1,0
CLM_01144,monsoon,nano,Platform Outage,25.0,500.0,1,3,0.3519,10648,0.8869,307.19,0.6144,1,0
CLM_03078,festival,basic,Platform Outage,49.0,1000.0,1,0,0.7761,10572,0.7638,197.39,0.1974,1,0
CLM_01103,festival,basic,Platform Outage,49.0,1000.0,1,1,0.5298,2217,0.8683,632.71,0.6327,0,0
CLM_00168,monsoon,premium,Poor AQI,99.0,3500.0,1,0,0.4633,1414,0.604,1378.84,0.394,0,0
CLM_01670,monsoon,basic,Heavy Rain,49.0,1000.0,1,2,0.7328,24507,0.8244,230.0,0.23,0,0
CLM_02570,summer,basic,Poor AQI,49.0,1000.0,1,0,0.5466,2602,0.7259,571.35,0.5714,0,0
CLM_02377,summer,basic,Platform Outage,49.0,1000.0,0,1,0.9092,1928,0.5665,515.22,0.5152,0,0
CLM_04395,festival,basic,Poor AQI,49.0,1000.0,1,0,0.5854,1123,0.9661,364.18,0.3642,0,0
CLM_04257,festival,standard,Heavy Rain,79.0,2000.0,1,0,0.939,7478,0.927,428.8,0.2144,0,0
CLM_03862,festival,standard,Poor AQI,79.0,2000.0,1,0,0.8849,28882,0.5831,738.83,0.3694,0,0
CLM_00023,monsoon,basic,Platform Outage,49.0,1000.0,1,1,0.8217,15423,0.7972,366.77,0.3668,0,0
CLM_02633,monsoon,standard,Poor AQI,79.0,2000.0,1,0,0.5181,2909,0.6823,617.8,0.3089,0,0
CLM_03340,summer,premium,Platform Outage,99.0,3500.0,0,1,0.7717,2655,0.9236,2034.12,0.5812,1,0
CLM_02215,summer,premium,Platform Outage,99.0,3500.0,0,1,0.3596,2364,0.936,967.99,0.2766,0,0
CLM_03682,winter,basic,Heavy Rain,49.0,1000.0,1,0,0.4263,9046,0.7667,605.3,0.6053,1,0
CLM_04724,summer,standard,Poor AQI,79.0,2000.0,0,6,0.3369,245,0.057,1958.2,0.9791,2,1
CLM_01907,monsoon,standard,Heavy Rain,79.0,2000.0,1,1,0.6609,650,0.8479,858.4,0.4292,0,0
CLM_00084,winter,premium,Poor AQI,99.0,3500.0,1,1,0.7185,4113,0.314,646.04,0.1846,0,0
CLM_00227,festival,premium,Platform Outage,99.0,3500.0,1,0,0.9767,7349,0.9904,1644.58,0.4699,0,0
CLM_00296,festival,nano,Platform Outage,25.0,500.0,1,0,0.9385,6459,0.9246,203.93,0.4079,0,0
CLM_01001,monsoon,basic,Heavy Rain,49.0,1000.0,1,0,0.7561,480,0.7029,424.77,0.4248,0,0
CLM_02138,festival,standard,Platform Outage,79.0,2000.0,1,0,0.5614,1389,0.8684,988.34,0.4942,0,0
CLM_00711,monsoon,nano,Heavy Rain,25.0,500.0,1,2,0.5491,14663,0.8256,189.49,0.379,1,0
CLM_02801,winter,nano,Heavy Rain,25.0,500.0,1,0,0.6987,6064,0.3746,171.97,0.3439,0,0
CLM_02527,monsoon,basic,Poor AQI,49.0,1000.0,1,0,0.9382,3145,0.8334,388.6,0.3886,0,0
CLM_03752,monsoon,nano,Heavy Rain,25.0,500.0,1,0,0.7465,19272,0.4233,203.41,0.4068,0,0
CLM_03321,festival,basic,Platform Outage,49.0,1000.0,1,2,0.7245,2240,0.9145,575.99,0.576,0,0
CLM_03181,winter,basic,Poor AQI,49.0,1000.0,1,2,0.7456,1534,0.504,528.01,0.528,0,0
CLM_04183,monsoon,nano,Heavy Rain,25.0,500.0,1,0,0.7976,5744,0.8937,240.4,0.4808,0,0
CLM_01615,winter,basic,Heavy Rain,49.0,1000.0,1,0,0.8346,12432,0.7152,515.65,0.5156,0,0
CLM_03024,monsoon,basic,Heavy Rain,49.0,1000.0,1,0,0.5538,480,0.7199,478.06,0.4781,0,0
CLM_01413,summer,nano,Platform Outage,25.0,500.0,1,0,0.9356,17416,0.6985,134.42,0.2688,0,0
CLM_00763,festival,basic,Platform Outage,49.0,1000.0,1,1,0.7479,20994,0.9279,573.09,0.5731,1,0
CLM_00655,festival,standard,Platform Outage,79.0,2000.0,1,1,0.57,12826,0.5286,1271.43,0.6357,0,0
CLM_04797,monsoon,basic,Platform Outage,49.0,1000.0,1,1,0.0295,20,0.2304,763.64,0.7636,5,1
CLM_03849,summer,premium,Platform Outage,99.0,3500.0,0,0,0.7036,10357,0.7502,1682.8,0.4808,0,0
CLM_04153,summer,standard,Heatwave,79.0,2000.0,1,1,0.6608,1083,0.5994,775.59,0.3878,0,0
CLM_00468,summer,nano,Platform Outage,25.0,500.0,1,2,0.4679,34706,0.8202,91.97,0.1839,1,0
CLM_00157,summer,standard,Heatwave,79.0,2000.0,1,0,0.5003,11768,0.3938,657.29,0.3286,0,0
CLM_01295,summer,nano,Platform Outage,25.0,500.0,1,1,0.7797,2509,0.977,120.85,0.2417,0,0
CLM_00497,summer,standard,Platform Outage,79.0,2000.0,1,2,0.6517,13513,0.2699,963.35,0.4817,0,0
CLM_04740,monsoon,basic,Heavy Rain,49.0,1000.0,1,5,0.2857,62,0.2995,954.46,0.9545,1,1
CLM_02940,monsoon,standard,Heavy Rain,79.0,2000.0,1,0,0.7882,35774,0.8834,1159.76,0.5799,1,0
CLM_03456,winter,basic,Heavy Rain,49.0,1000.0,1,1,0.6577,480,0.6764,383.41,0.3834,0,0
CLM_00373,summer,basic,Platform Outage,49.0,1000.0,1,2,0.6749,6743,0.4859,306.71,0.3067,1,0
CLM_00079,festival,nano,Platform Outage,25.0,500.0,1,0,0.8035,4563,0.443,248.79,0.4976,0,0
CLM_01553,winter,nano,Heavy Rain,25.0,500.0,1,0,0.8824,22683,0.7174,257.16,0.5143,0,0
CLM_01669,monsoon,standard,Heavy Rain,79.0,2000.0,1,1,0.6027,6787,0.7229,769.55,0.3848,0,0
CLM_02131,monsoon,standard,Poor AQI,79.0,2000.0,1,3,0.6866,10734,0.8088,506.5,0.2532,0,0
CLM_04439,monsoon,standard,Platform Outage,79.0,2000.0,1,0,0.7451,2181,0.7408,618.14,0.3091,0,0
CLM_00465,monsoon,basic,Platform Outage,49.0,1000.0,1,2,0.9438,9023,0.8575,234.53,0.2345,0,0
CLM_00248,monsoon,standard,Platform Outage,79.0,2000.0,1,1,0.8038,480,0.9619,543.45,0.2717,0,0
CLM_00931,monsoon,basic,Heavy Rain,49.0,1000.0,1,0,0.7899,480,0.3872,318.61,0.3186,0,0
CLM_01335,monsoon,standard,Heavy Rain,79.0,2000.0,0,0,0.5564,5605,0.8507,589.64,0.2948,0,0
CLM_04524,summer,standard,Platform Outage,79.0,2000.0,1,5,0.1523,349,0.2466,1906.05,0.953,3,1
CLM_01338,festival,basic,Platform Outage,49.0,1000.0,1,1,0.8628,5340,0.8964,469.15,0.4691,0,0
CLM_01406,winter,standard,Heavy Rain,79.0,2000.0,1,0,0.366,2261,0.6904,428.61,0.2143,0,0
CLM_01090,monsoon,standard,Poor AQI,79.0,2000.0,1,0,0.8347,1600,0.8891,1004.62,0.5023,0,0
CLM_04209,festival,basic,Poor AQI,49.0,1000.0,1,0,0.7752,8068,0.6797,480.06,0.4801,0,0
CLM_00742,summer,premium,Heatwave,99.0,3500.0,1,0,0.7922,480,0.5949,2310.89,0.6603,0,0
CLM_02323,monsoon,basic,Heavy Rain,49.0,1000.0,1,1,0.7544,14883,0.7005,637.19,0.6372,0,0
CLM_03601,monsoon,nano,Heavy Rain,25.0,500.0,1,3,0.5563,4250,0.8927,256.85,0.5137,0,0
CLM_02123,summer,standard,Heatwave,79.0,2000.0,1,2,0.5851,6628,0.513,727.36,0.3637,0,0
CLM_02094,winter,premium,Poor AQI,99.0,3500.0,1,1,0.8679,1471,0.3543,1605.81,0.4588,0,0
CLM_00240,monsoon,premium,Poor AQI,99.0,3500.0,1,1,0.516,2818,0.9061,2059.27,0.5884,0,0
CLM_02351,monsoon,standard,Heavy Rain,79.0,2000.0,1,0,0.8485,7199,0.7135,1213.02,0.6065,0,0
CLM_01370,summer,basic,Heatwave,49.0,1000.0,1,1,0.7761,29098,0.7011,424.13,0.4241,0,0
CLM_01057,summer,basic,Platform Outage,49.0,1000.0,0,1,0.7322,22742,0.9128,296.83,0.2968,0,0
CLM_04816,monsoon,standard,Poor AQI,79.0,2000.0,0,1,0.2131,370,0.1079,1836.1,0.918,4,1
CLM_00199,summer,standard,Platform Outage,79.0,2000.0,1,3,0.9676,3268,0.8044,526.22,0.2631,0,0
CLM_02280,monsoon,basic,Platform Outage,49.0,1000.0,1,1,0.5801,4632,0.2622,652.25,0.6522,0,0
CLM_04749,festival,nano,Platform Outage,25.0,500.0,0,3,0.2138,74,0.4693,397.17,0.7943,2,1
CLM_02220,summer,basic,Heatwave,49.0,1000.0,1,0,0.7694,2260,0.4609,494.45,0.4945,1,0
CLM_04771,monsoon,premium,Heavy Rain,99.0,3500.0,1,5,0.1357,176,0.1255,3059.5,0.8741,0,1
CLM_02819,festival,premium,Platform Outage,99.0,3500.0,1,0,0.8479,13911,0.6132,650.26,0.1858,0,0
CLM_03150,summer,basic,Poor AQI,49.0,1000.0,1,0,0.6951,4454,0.5447,502.3,0.5023,0,0
CLM_04256,monsoon,basic,Heavy Rain,49.0,1000.0,1,1,0.7081,10847,0.487,306.94,0.3069,0,0
CLM_03107,monsoon,premium,Poor AQI,99.0,3500.0,1,0,0.8149,558,0.8198,1017.59,0.2907,0,0
CLM_01973,monsoon,basic,Poor AQI,49.0,1000.0,1,1,0.4299,4685,0.5932,284.96,0.285,1,0
CLM_01375,monsoon,basic,Platform Outage,49.0,1000.0,1,1,0.8258,3719,0.8232,185.61,0.1856,0,0
CLM_03968,monsoon,nano,Heavy Rain,25.0,500.0,1,1,0.7728,480,0.6502,154.17,0.3083,0,0
CLM_04062,summer,premium,Heatwave,99.0,3500.0,1,1,0.7048,16721,0.7096,2040.2,0.5829,0,0
CLM_04445,monsoon,premium,Poor AQI,99.0,3500.0,1,0,0.3442,3281,0.735,1735.44,0.4958,0,0
CLM_03557,summer,basic,Poor AQI,49.0,1000.0,1,0,0.5643,13529,0.8812,431.01,0.431,1,0
CLM_00964,monsoon,basic,Poor AQI,49.0,1000.0,0,0,0.8023,12166,0.656,296.47,0.2965,1,0
CLM_00179,summer,basic,Poor AQI,49.0,1000.0,1,3,0.8072,36111,0.519,464.52,0.4645,0,0
CLM_03698,festival,standard,Heavy Rain,79.0,2000.0,1,1,0.7533,23438,0.6814,655.98,0.328,0,0
CLM_03821,monsoon,basic,Poor AQI,49.0,1000.0,1,0,0.4022,6460,0.6867,387.62,0.3876,0,0
CLM_04878,winter,nano,Platform Outage,25.0,500.0,0,5,0.0626,56,0.4875,485.92,0.9718,2,1
CLM_03899,monsoon,basic,Heavy Rain,49.0,1000.0,1,2,0.8861,18242,0.728,677.83,0.6778,1,0
CLM_04487,monsoon,basic,Platform Outage,49.0,1000.0,1,0,0.6236,1192,0.3676,587.28,0.5873,1,0
CLM_03238,monsoon,standard,Platform Outage,79.0,2000.0,1,0,0.4996,5432,0.6751,1082.9,0.5415,0,0
CLM_02974,winter,standard,Heatwave,79.0,2000.0,1,1,0.8734,34123,0.7154,777.92,0.389,0,0
CLM_03580,monsoon,premium,Platform Outage,99.0,3500.0,1,0,0.6822,3923,0.3172,1522.34,0.435,0,0
CLM_02887,monsoon,basic,Heavy Rain,49.0,1000.0,1,1,0.8481,6239,0.8308,363.51,0.3635,0,0
CLM_02575,monsoon,standard,Heavy Rain,79.0,2000.0,1,0,0.6882,8832,0.3737,551.25,0.2756,0,0
CLM_01419,summer,basic,Heatwave,49.0,1000.0,1,0,0.8987,753,0.5868,221.6,0.2216,0,0
CLM_03907,summer,nano,Platform Outage,25.0,500.0,1,0,0.3718,9642,0.8597,168.01,0.336,0,0
CLM_04673,summer,standard,Poor AQI,79.0,2000.0,0,6,0.3117,66,0.4066,1712.82,0.8564,1,1
CLM_04902,summer,standard,Heatwave,79.0,2000.0,1,5,0.1388,20,0.2902,1672.44,0.8362,2,1
CLM_01860,monsoon,basic,Platform Outage,49.0,1000.0,1,0,0.8561,18239,0.8858,398.91,0.3989,0,0
CLM_00008,festival,basic,Poor AQI,49.0,1000.0,1,2,0.9388,2126,0.8204,191.32,0.1913,0,0
CLM_02894,winter,standard,Poor AQI,79.0,2000.0,1,3,0.4852,10011,0.6662,769.94,0.385,0,0
CLM_02847,summer,standard,Heatwave,79.0,2000.0,1,0,0.8447,3570,0.4643,767.73,0.3839,0,0
CLM_03664,festival,nano,Heavy Rain,25.0,500.0,1,0,0.6077,7505,0.5047,134.51,0.269,1,0
CLM_00144,festival,standard,Platform Outage,79.0,2000.0,1,1,0.8538,875,0.8346,363.77,0.1819,0,0
CLM_02104,monsoon,standard,Heavy Rain,79.0,2000.0,1,0,0.8325,480,0.8874,508.87,0.2544,0,0
CLM_03143,winter,standard,Poor AQI,79.0,2000.0,1,0,0.8244,3895,0.4946,974.52,0.4873,0,0
CLM_00841,monsoon,standard,Platform Outage,79.0,2000.0,1,1,0.6833,480,0.7233,1286.83,0.6434,0,0
CLM_01128,monsoon,nano,Heavy Rain,25.0,500.0,1,0,0.6002,12702,0.5157,207.73,0.4155,0,0
CLM_00151,winter,standard,Poor AQI,79.0,2000.0,1,0,0.7644,4812,0.8775,675.13,0.3376,0,0
CLM_03591,monsoon,nano,Heavy Rain,25.0,500.0,1,1,0.8718,2089,0.5322,332.29,0.6646,0,0
CLM_01052,monsoon,standard,Heavy Rain,79.0,2000.0,1,0,0.6621,9073,0.3386,1182.24,0.5911,1,0
CLM_01590,monsoon,basic,Platform Outage,49.0,1000.0,1,0,0.6371,1866,0.4752,415.49,0.4155,0,0
CLM_03008,monsoon,standard,Heavy Rain,79.0,2000.0,1,0,0.3123,1217,0.7834,405.91,0.203,0,0
CLM_02029,festival,nano,Platform Outage,25.0,500.0,1,0,0.7664,4575,0.6507,133.6,0.2672,0,0
CLM_03418,festival,standard,Poor AQI,79.0,2000.0,1,3,0.6326,28358,0.4338,561.57,0.2808,0,0
CLM_01807,festival,standard,Platform Outage,79.0,2000.0,1,0,0.9089,1156,0.9102,1037.04,0.5185,0,0
CLM_02696,festival,basic,Heavy Rain,49.0,1000.0,1,0,0.7289,8198,0.809,314.58,0.3146,0,0
CLM_03039,festival,premium,Platform Outage,99.0,3500.0,1,0,0.8255,13487,0.896,1330.07,0.38,0,0
CLM_00472,festival,nano,Platform Outage,25.0,500.0,1,0,0.7981,3488,0.7807,251.29,0.5026,0,0
CLM_03289,monsoon,standard,Heavy Rain,79.0,2000.0,1,0,0.7494,1288,0.8721,1215.8,0.6079,0,0
CLM_04074,winter,basic,Poor AQI,49.0,1000.0,1,1,0.58,11299,0.2876,314.74,0.3147,0,0
CLM_03496,festival,nano,Platform Outage,25.0,500.0,1,0,0.5905,7128,0.3018,255.93,0.5119,1,0
CLM_00279,summer,basic,Platform Outage,49.0,1000.0,1,1,0.5295,7714,0.7054,253.86,0.2539,0,0
CLM_01741,winter,premium,Platform Outage,99.0,3500.0,1,0,0.4669,2228,0.4063,1182.96,0.338,0,0
CLM_04624,festival,premium,Platform Outage,99.0,3500.0,0,6,0.0428,20,0.3569,3346.66,0.9562,2,1
CLM_02886,monsoon,standard,Heavy Rain,79.0,2000.0,1,0,0.9734,12974,0.583,1290.94,0.6455,0,0
CLM_01941,winter,premium,Heavy Rain,99.0,3500.0,1,1,0.8505,17041,0.8692,1892.1,0.5406,0,0
CLM_00100,monsoon,nano,Heavy Rain,25.0,500.0,0,1,0.8922,9374,0.6052,120.78,0.2416,0,0
CLM_02804,festival,premium,Heavy Rain,99.0,3500.0,1,1,0.7643,1567,0.7339,1285.88,0.3674,0,0
CLM_03570,summer,nano,Heavy Rain,25.0,500.0,1,0,0.7175,21223,0.5324,90.59,0.1812,0,0
CLM_03684,winter,standard,Heavy Rain,79.0,2000.0,1,0,0.3758,1682,0.5084,917.06,0.4585,0,0
CLM_03661,festival,premium,Platform Outage,99.0,3500.0,1,0,0.7482,480,0.4711,1655.08,0.4729,0,0
CLM_00530,summer,basic,Heatwave,49.0,1000.0,1,0,0.7692,6967,0.9385,495.79,0.4958,0,0
CLM_01886,monsoon,premium,Platform Outage,99.0,3500.0,1,1,0.7229,2858,0.6547,2284.55,0.6527,0,0
CLM_00681,festival,basic,Heavy Rain,49.0,1000.0,1,0,0.854,7628,0.8482,655.24,0.6552,0,0
CLM_03794,festival,nano,Platform Outage,25.0,500.0,1,1,0.545,5564,0.9825,310.39,0.6208,0,0
CLM_03944,monsoon,standard,Heavy Rain,79.0,2000.0,1,0,0.4957,4240,0.7954,940.59,0.4703,0,0
CLM_04666,monsoon,premium,Heavy Rain,99.0,3500.0,1,6,0.1891,144,0.0319,2798.22,0.7995,2,1
CLM_02018,summer,premium,Platform Outage,99.0,3500.0,1,2,0.3455,20243,0.7106,1739.46,0.497,0,0
CLM_01096,festival,basic,Platform Outage,49.0,1000.0,0,1,0.9003,24073,0.615,638.63,0.6386,0,0
CLM_00829,monsoon,premium,Heavy Rain,99.0,3500.0,1,2,0.6313,7488,0.9373,2337.01,0.6677,0,0
CLM_02805,festival,nano,Platform Outage,25.0,500.0,1,0,0.8781,8009,0.7706,209.03,0.4181,0,0
CLM_03829,summer,standard,Poor AQI,79.0,2000.0,1,2,0.2604,5083,0.794,372.52,0.1863,0,0
CLM_04381,summer,basic,Poor AQI,49.0,1000.0,1,1,0.9076,2947,0.8024,419.85,0.4199,0,0
CLM_03891,festival,basic,Platform Outage,49.0,1000.0,1,1,0.5952,8765,0.3981,244.53,0.2445,0,0
CLM_00764,festival,standard,Platform Outage,79.0,2000.0,1,0,0.53,10967,0.756,933.44,0.4667,0,0
CLM_02767,monsoon,nano,Platform Outage,25.0,500.0,1,3,0.9692,480,0.3846,317.84,0.6357,1,0
CLM_04328,winter,basic,Poor AQI,49.0,1000.0,1,0,0.5102,480,0.729,472.69,0.4727,0,0
CLM_03295,winter,standard,Heatwave,79.0,2000.0,1,1,0.5787,5967,0.7412,446.62,0.2233,0,0
CLM_02194,winter,basic,Poor AQI,49.0,1000.0,1,0,0.5721,6080,0.7919,543.78,0.5438,0,0
CLM_02357,monsoon,standard,Heavy Rain,79.0,2000.0,1,3,0.4519,3750,0.4855,607.66,0.3038,0,0
CLM_03425,winter,nano,Platform Outage,25.0,500.0,0,1,0.8596,638,0.5608,269.77,0.5395,0,0
CLM_03979,winter,standard,Poor AQI,79.0,2000.0,1,0,0.6181,1080,0.5426,1247.79,0.6239,0,0
CLM_00911,winter,nano,Heavy Rain,25.0,500.0,1,2,0.9907,16701,0.9214,252.28,0.5046,0,0
CLM_03145,monsoon,basic,Heavy Rain,49.0,1000.0,1,4,0.8723,11546,0.7147,584.03,0.584,1,0
CLM_00999,winter,basic,Heatwave,49.0,1000.0,1,1,0.2682,20510,0.8772,272.41,0.2724,0,0
CLM_03653,winter,basic,Heatwave,49.0,1000.0,1,1,0.6783,9037,0.9791,352.16,0.3522,0,0
CLM_02483,monsoon,premium,Platform Outage,99.0,3500.0,1,0,0.7214,1303,0.9248,1677.92,0.4794,0,0
CLM_04076,summer,nano,Platform Outage,25.0,500.0,1,0,0.8152,6425,0.6062,113.6,0.2272,0,0
CLM_02370,summer,basic,Heatwave,49.0,1000.0,1,0,0.6719,496,0.8042,272.68,0.2727,0,0
CLM_04838,monsoon,standard,Heavy Rain,79.0,2000.0,1,4,0.1981,218,0.0953,1595.54,0.7978,0,1
CLM_00033,monsoon,basic,Poor AQI,49.0,1000.0,1,2,0.8337,2924,0.663,536.93,0.5369,0,0
CLM_03789,monsoon,nano,Heavy Rain,25.0,500.0,1,2,0.916,1113,0.3953,238.32,0.4766,0,0
CLM_01020,summer,nano,Heavy Rain,25.0,500.0,1,0,0.9376,11569,0.8656,116.93,0.2339,1,0
CLM_01647,winter,standard,Poor AQI,79.0,2000.0,1,1,0.89,15571,0.6386,421.68,0.2108,0,0
CLM_00733,winter,basic,Poor AQI,49.0,1000.0,1,1,0.5697,12721,0.8654,549.46,0.5495,0,0
CLM_04582,monsoon,premium,Heavy Rain,99.0,3500.0,0,5,0.0718,67,0.2521,3137.06,0.8963,4,1
CLM_03274,summer,standard,Platform Outage,79.0,2000.0,1,1,0.782,4939,0.3803,938.97,0.4695,0,0
CLM_01620,summer,standard,Poor AQI,79.0,2000.0,1,1,0.7285,2724,0.5938,691.29,0.3456,0,0
CLM_03135,monsoon,basic,Platform Outage,49.0,1000.0,1,1,0.6079,2393,0.4132,592.19,0.5922,1,0
CLM_02689,festival,premium,Heavy Rain,99.0,3500.0,0,1,0.822,4749,0.7246,1609.72,0.4599,0,0
CLM_02707,summer,nano,Heavy Rain,25.0,500.0,1,1,0.7593,1956,0.5327,291.45,0.5829,0,0
CLM_00297,monsoon,basic,Platform Outage,49.0,1000.0,1,1,0.8737,37477,0.8576,280.39,0.2804,0,0
CLM_02339,winter,nano,Platform Outage,25.0,500.0,1,1,0.8047,480,0.659,121.12,0.2422,0,0
CLM_00653,summer,standard,Poor AQI,79.0,2000.0,1,0,0.9489,30260,0.6877,493.19,0.2466,1,0
